MUNI,INC_LT_25K,INC_25_50K,INC_50_75K,INC_75_100K,INC_100_150K,INC_GT_150,MEDINC,POP_25OV,HS,BACH,POP_16OV,IN_LBFRC,EMP,UNEMP,NOT_IN_LBFRC,HU_TOT,HU_SNG_DET,HU_SNG_ATT,HU_2UN,HU_3_4UN,HU_GT_5UN,MED_ROOMS,HV_LT_150K,HV_150_300K,HV_300_500K,HV_GT_500K,MED_HV,HA_AFT2000,HA_90_70,HA_40_70,HA_BEF1940,MED_HA,BR_0_1,BR_2,BR_3,BR_4,BR_5,TOT_COMM,DROVE_AL,CARPOOL,TRANSIT,WALK,COMM_OTHER,WORK_FRM_HM,OWN_OCC_HU,RNT_OCC_HU,VAC_HU,TOT_POP,TOT_HH,AVG_HH_SIZE,WHITE,HISP,BLACK,ASIAN,OTHER,UND19,A20_34,A35_49,A50_64,A65_79,OV80,MED_AGE,2010_POP,2000_POP,POP_CHANGE,TOT_EMP_RES,RES_NAICS1_TYPE,RES_NAICS2_TYPE,RES_NAICS3_TYPE,RES_NAICS4_TYPE,RES_NAICS5_TYPE,RES_NAICS1_COUNT,RES_NAICS2_COUNT,RES_NAICS3_COUNT,RES_NAICS4_COUNT,RES_NAICS5_COUNT,TOT_EMP_WORK,WORK_NAICS1_TYPE,WORK_NAICS2_TYPE,WORK_NAICS3_TYPE,WORK_NAICS4_TYPE,WORK_NAICS5_TYPE,WORK_NAICS1_COUNT,WORK_NAICS2_COUNT,WORK_NAICS3_COUNT,WORK_NAICS4_COUNT,WORK_NAICS5_COUNT,RES_CITY1_TYPE,RES_CITY2_TYPE,RES_CITY3_TYPE,RES_CITY4_TYPE,RES_CITY5_TYPE,RES_CITY1_COUNT,RES_CITY2_COUNT,RES_CITY3_COUNT,RES_CITY4_COUNT,RES_CITY5_COUNT,WORK_CITY1_TYPE,WORK_CITY2_TYPE,WORK_CITY3_TYPE,WORK_CITY4_TYPE,WORK_CITY5_TYPE,WORK_CITY1_COUNT,WORK_CITY2_COUNT,WORK_CITY3_COUNT,WORK_CITY4_COUNT,WORK_CITY5_COUNT,AVG_VMT,HC_PCT,TR_PCT,HCTR_PCT,PARK_ACC,TOT_ACRES,SF,Sfperc,MF,Mfperc,MIX,MIXperc,COMM,COMMperc,INST,INSTperc,IND,INDperc,TRANS,TRANSperc,AG,Agperc,OPEN,OPENperc,WATER,WATERperc,VACANT,VACperc,PRIV_EMP,EMP_CHANGE,PCT_CHANGE,PJOBS_HH,RET_SALES,RETSALES_PC,TOT_EAV,RES_EAV,FARM_EAV,CMRCL_EAV,IND_EAV,RAIL_EAV,MIN_EAV,WALKSCORE,PR_CNTY,CNTY_TOT_POP,CNTY_TOT_HH,CNTY_AVG_HH_SIZE,CNTY_2010_POP,CNTY_2000_POP,CNTY_POP_CHANGE,CNTY_MED_AGE,CNTY_WHITE,CNTY_HISP,CNTY_BLACK,CNTY_ASIAN,CNTY_OTHER,CNTY_UND19,CNTY_A20_34,CNTY_A35_49,CNTY_A50_64,CNTY_A65_79,CNTY_OV80,CNTY_INC_LT_25K,CNTY_INC_25_50K,CNTY_INC_50_75K,CNTY_INC_75_100K,CNTY_INC_100_150K,CNTY_INC_GT_150,CNTY_MEDINC,CNTY_POP_25OV,CNTY_HS,CNTY_BACH,CNTY_HU_TOT,CNTY_OWN_OCC_HU,CNTY_RNT_OCC_HU,CNTY_VAC_HU,CNTY_HU_SNG_DET,CNTY_HU_SNG_ATT,CNTY_HU_2UN,CNTY_HU_3_4UN,CNTY_HU_GT_5UN,CNTY_BR_0_1,CNTY_BR_2,CNTY_BR_3,CNTY_BR_4,CNTY_BR_5,CNTY_MED_ROOMS,CNTY_HV_LT_150K,CNTY_HV_150_300K,CNTY_HV_300_500K,CNTY_HV_GT_500K,CNTY_MED_HV,CNTY_HA_AFT2000,CNTY_HA_90_70,CNTY_HA_40_70,CNTY_HA_BEF1940,CNTY_MED_HA,CNTY_POP_16OV,CNTY_IN_LBFRC,CNTY_EMP,CNTY_UNEMP,CNTY_NOT_IN_LBFRC,CNTY_PRIV_EMP,CNTY_EMP_CHANGE,CNTY_PCT_CHANGE,CNTY_PJOBS_HH,CNTY_TOT_COMM,CNTY_DROVE_AL,CNTY_CARPOOL,CNTY_TRANSIT,CNTY_WALK,CNTY_COMM_OTHER,CNTY_WORK_FRM_HM,CNTY_AVG_VMT,CNTY_HC_PCT,CNTY_TR_PCT,CNTY_HCTR_PCT,CNTY_RET_SALES,CNTY_RETSALES_PC,CNTY_PARK_ACC,POP_HH,CNTY_POP_HH
Ringwood,33,53,46,60,48,57,84750,524,509,129,616,463,416,47,153,319,298,0,6,12,3,7.4,10,116,108,19,301900,91,119,36,73,1984,12,33,151,98,25,401,361,26,5,8,1,13,253,44,22,833,297,2.804713805,788,23,8,5,9,262,59,263,192,51,6,42.8,836,471,365,242,Education,Manufacturing,Retail Trade,Health Care,Wholesale Trade,41,36,27,26,25,758,Manufacturing,Retail Trade,Construction,Wholesale Trade,Accommodation and Food Service,381,81,76,72,65,McHenry,Johnsburg,Crystal Lake,Woodstock,Libertyville,54,26,19,12,10,McHenry,Johnsburg,Woodstock,Crystal Lake,Pistakee Highlands,56,44,44,26,23,N/A,37.16710154,27.6067443,64.77384584,77.64298244,2469.375872,536.3913999,21.72173973,0,0,36.90320015,1.494434305,9.4617889,0.383165196,18.13757555,0.734500396,60.27091487,2.440734744,0,0,1453.658107,58.86742977,67.16894902,2.720077967,9.07524991,0.367511889,278.3086864,11.270406,N/A,N/A,N/A,N/A,"$2,664,424 ","$2,944 ","$36,971,740 ","$24,883,444 ","$958,417 ","$6,746,403 ","$4,383,476 ",$0 ,$0 ,N/A,McHenry,308163,108950,2.814465351,308760,260077,48683,38,257757,35265,3352,7807,3982,91632,50334,74388,60190,24082,7537,14025,19095,19787,18618,22369,15056,77325,200749,185123,65182,116015,90267,18683,7065,90256,11666,1809,3226,8356,6575,25149,47475,30936,5880,6.6,14555,49945,20606,5161,233400,25420,58101,22160,10334,1986,235131,170628,153749,16702,64503,76677,518,0.680155989,0.703781551,143443,124413,11319,4282,2211,1218,7677,24095,32.9,26.1,59,"$2,840,262,460 ","$9,230 ",122.7,833,306636
Riverdale,1496,1236,1137,559,314,20,40650,8282,7226,1158,10294,6929,5420,1504,3365,5919,2969,458,207,466,1819,5.1,1955,355,14,0,95800,359,702,4037,821,1958,1047,2176,2160,422,114,5229,3744,489,799,176,21,108,2324,2438,1157,13552,4762,2.839563209,614,196,12525,0,217,4333,3162,2814,2403,571,269,32.1,13549,15055,-1506,4363,Health Care,Retail Trade,Education,Transportation,Administration,980,432,401,371,312,1793,Manufacturing,Education,Transportation,Health Care,Wholesale Trade,422,278,243,237,169,Chicago,Riverdale,Harvey,South Holland,Dolton,1757,102,94,85,75,Chicago,Riverdale,Calumet,Blue Island,Dolton,390,102,62,59,57,"17,049",22.5538822,22.0605085,44.6143907,52.83321048,2527.051735,563.5754498,22.30169814,59.04019341,2.336327056,125.8362059,4.979565878,11.27661955,0.446236197,47.82036805,1.892338308,378.5998456,14.98187949,450.2274954,17.81631492,0,0,604.2414393,23.91092477,110.7093989,4.38097081,175.7247194,6.953744433,"1,367",-187,-12,0.29,"$19,729,574 ","$1,451 ","$106,741,343 ","$64,883,527 ",$0 ,"$22,883,510 ","$13,701,910 ","$5,272,396 ",$0 ,N/A,Cook,5197677,1933670,2.644964756,5194675,5376741,-182066,35.3,2277287,1245329,1267825,325562,81674,1369782,1206113,1067068,928952,441858,183904,456264,436472,339402,235745,253222,212565,54648,3456817,2906668,1184199,2178739,1140135,793535,245069,869539,118595,218404,252173,703831,444707,688082,700183,259049,86718,5.2,236730,487756,272528,143121,244900,167141,525630,800325,685643,1957,4112868,2742562,2424917,316141,1370306,2073558,-143400,-6.46832281,1.072343264,2278500,1485736,221832,420010,124078,26844,93836,14774,26.9,19.6,46.5,"$49,351,405,982 ","$9,522 ",20.6,13522,5114489
River Forest,433,465,476,339,571,1537,121250,6679,6485,5020,8587,5305,5001,304,3282,4165,2777,197,124,107,960,7.2,202,679,621,2040,583300,211,466,1424,2064,1940,224,1049,1376,1072,444,4359,2855,213,860,375,56,538,3542,279,344,11174,3821,2.682543837,9106,552,655,542,319,3600,1370,1966,2658,1159,421,41.3,11172,11635,-463,4242,Health Care,Education,Professional,Finance,Retail Trade,642,533,518,380,326,4594,Education,Retail Trade,Public Administration,Health Care,Finance,1786,837,609,427,221,Chicago,Oak Park,River Forest,Maywood,Melrose Park,1851,301,243,83,78,Chicago,Oak Park,River Forest,Elmwood Park,Berwyn,1351,292,243,105,81,"15,600",40.78141878,21.81654819,62.59796697,32.61869506,1586.828322,928.4723455,58.51120328,56.69827608,3.573056724,59.44207604,3.745967677,6.97794008,0.439741337,145.6937848,9.181445954,0,0,7.16309977,0.451409876,0,0,362.3949394,22.8376904,15.54172076,0.979420429,4.44413996,0.280064321,"3,862","1,263",48.6,1.01,"$78,268,337 ","$7,011 ","$573,104,464 ","$518,667,191 ",$0 ,"$50,351,032 ","$3,827,194 ","$259,047 ",$0 ,N/A,Cook,5197677,1933670,2.644964756,5194675,5376741,-182066,35.3,2277287,1245329,1267825,325562,81674,1369782,1206113,1067068,928952,441858,183904,456264,436472,339402,235745,253222,212565,54648,3456817,2906668,1184199,2178739,1140135,793535,245069,869539,118595,218404,252173,703831,444707,688082,700183,259049,86718,5.2,236730,487756,272528,143121,244900,167141,525630,800325,685643,1957,4112868,2742562,2424917,316141,1370306,2073558,-143400,-6.46832281,1.072343264,2278500,1485736,221832,420010,124078,26844,93836,14774,26.9,19.6,46.5,"$49,351,405,982 ","$9,522 ",20.6,10250,5114489
River Grove,909,1354,747,599,349,139,47584,7131,6090,1627,8495,5808,5143,665,2687,4504,2154,63,81,361,1830,4.4,428,1688,365,39,205300,66,919,2913,606,1959,1229,1528,1321,349,77,5019,3763,689,278,190,99,64,2520,1577,407,10224,4097,2.485721259,7541,2146,40,410,87,2185,2825,1681,2034,1095,404,35.7,10227,10668,-441,4151,Manufacturing,Retail Trade,Health Care,Administration,Education,579,486,472,306,305,4053,Education,Wholesale Trade,Retail Trade,Accommodation and Food Service,Construction,1567,659,482,259,166,Chicago,River Grove,Franklin Park,Melrose Park,Des Plaines,1288,230,202,127,106,Chicago,River Grove,Elmwood Park,Oak Park,Franklin Park,1003,230,214,135,114,"16,179",24.36246611,21.3318972,45.69436332,70.10631258,1536.896623,386.3728997,25.13981057,58.58223239,3.811722371,45.1095777,2.935108128,26.08053511,1.696960922,432.9086071,28.16771152,143.4103522,9.331164506,1.37276995,0.089320904,0,0,410.3584507,26.70045887,30.77029921,2.002105981,1.93089899,0.125636231,"2,622",13,0.5,0.64,"$65,012,014 ","$6,362 ","$236,309,054 ","$160,645,334 ",$0 ,"$31,545,554 ","$44,118,166 ",$0 ,$0 ,N/A,Cook,5197677,1933670,2.644964756,5194675,5376741,-182066,35.3,2277287,1245329,1267825,325562,81674,1369782,1206113,1067068,928952,441858,183904,456264,436472,339402,235745,253222,212565,54648,3456817,2906668,1184199,2178739,1140135,793535,245069,869539,118595,218404,252173,703831,444707,688082,700183,259049,86718,5.2,236730,487756,272528,143121,244900,167141,525630,800325,685643,1957,4112868,2742562,2424917,316141,1370306,2073558,-143400,-6.46832281,1.072343264,2278500,1485736,221832,420010,124078,26844,93836,14774,26.9,19.6,46.5,"$49,351,405,982 ","$9,522 ",20.6,10184,5114489
Riverside,349,526,506,353,590,956,95156,5954,5629,3603,6824,4686,4349,337,2138,3419,2473,54,119,101,656,6.5,170,607,1064,830,386700,152,130,1073,2064,1939,441,808,1068,814,288,3871,2626,368,693,171,13,353,2671,609,139,8859,3280,2.700914634,7175,1230,27,188,239,2507,1315,2012,1854,832,339,41.6,8875,8895,-20,3799,Health Care,Education,Professional,Finance,Retail Trade,546,451,410,312,295,1592,Education,Health Care,Professional,Accommodation and Food Service,Finance,489,277,140,111,103,Chicago,Riverside,Berwyn,Cicero,Maywood,1547,174,103,85,76,Chicago,Riverside,Brookfield,Berwyn,Oak Park,354,174,78,64,34,"17,343",34.98679988,23.15304234,58.13984222,132.5945727,1295.995597,897.3732842,69.24200099,32.47838559,2.506056784,30.74910902,2.372624497,40.46906693,3.122623797,47.17164105,3.639799483,0,0,6.48847091,0.50065532,0,0,181.8234708,14.02963646,51.72781849,3.991357579,7.71435022,0.595245095,N/A,N/A,N/A,N/A,"$22,313,952 ","$2,541 ","$330,268,593 ","$307,614,181 ",$0 ,"$19,567,476 ","$2,685,285 ","$401,651 ",$0 ,N/A,Cook,5197677,1933670,2.644964756,5194675,5376741,-182066,35.3,2277287,1245329,1267825,325562,81674,1369782,1206113,1067068,928952,441858,183904,456264,436472,339402,235745,253222,212565,54648,3456817,2906668,1184199,2178739,1140135,793535,245069,869539,118595,218404,252173,703831,444707,688082,700183,259049,86718,5.2,236730,487756,272528,143121,244900,167141,525630,800325,685643,1957,4112868,2742562,2424917,316141,1370306,2073558,-143400,-6.46832281,1.072343264,2278500,1485736,221832,420010,124078,26844,93836,14774,26.9,19.6,46.5,"$49,351,405,982 ","$9,522 ",20.6,8859,5114489
Riverwoods,23,53,49,187,243,665,166579,2633,2589,1792,2904,1797,1684,113,1107,1220,1187,0,0,0,20,9,38,65,84,1026,758500,60,775,385,0,1978,20,59,297,506,338,1342,1137,51,132,5,17,305,1213,7,0,3854,1220,3.068852459,3446,68,5,214,121,1175,246,767,1008,569,89,45.7,3660,3843,-183,1032,Health Care,Retail Trade,Professional,Education,Manufacturing,110,108,108,101,89,6259,Finance,Wholesale Trade,Information,Administration,Health Care,2613,1399,1159,253,253,Deerfield,Northbrook,Highland Park,Glenview,Buffalo Grove,111,94,64,61,54,Chicago,Buffalo Grove,Palatine,Arlington Heights,Wheeling,925,274,171,162,135,N/A,59.81911793,24.40965497,84.2287729,313.1785478,2559.100211,1756.738079,68.64670917,0,0,26.55450267,1.037649974,136.7626075,5.344167722,25.10898924,0.981164752,4.4233319,0.172847155,0.69903943,0.027315829,1.66645002,0.065118592,478.2830551,18.68950083,38.10574031,1.489028845,90.75841575,3.546497138,N/A,N/A,N/A,N/A,"$24,075,623 ","$6,307 ","$373,536,851 ","$302,875,064 ","$311,327 ","$70,350,460 ",$0 ,$0 ,$0 ,N/A,Lake,701282,240744,2.836531752,703462,644356,59106,36.7,457261,139349,45982,43561,15129,212510,122333,157503,135182,53650,20104,32485,42733,39601,32569,43445,49911,79085,446837,396196,186863,260020,184999,55745,19276,175104,30151,6591,7314,36113,23023,61273,89381,69365,16978,6.3,32915,71348,43510,37226,267700,39542,131250,65031,24197,1980,533705,379124,334641,33545,154581,272836,1803,0.665232647,1.133303426,317717,258487,30813,14235,10566,3616,21552,21984,36.6,24.7,61.3,"$9,247,597,406 ","$13,203 ",82,3744,682878
Robbins,1036,410,240,141,60,13,21765,3564,2679,331,4259,2058,1449,609,2201,2294,1432,190,114,108,439,5.3,777,117,0,11,74800,207,366,1438,283,1962,552,244,1159,269,70,1352,1023,121,195,0,13,69,905,995,394,5132,1900,2.471052632,223,18,4891,0,0,1276,811,782,1314,676,273,43.9,5337,6635,-1298,1996,Health Care,Retail Trade,Administration,Education,Manufacturing,339,251,173,171,166,492,Health Care,Education,Public Administration,Other Service,Construction,236,97,69,41,17,Chicago,Crestwood,Robbins,Blue Island,Alsip,454,105,60,47,35,Chicago,Robbins,Blue Island,Harvey,Calumet,104,60,36,18,17,"13,865",14.67740686,23.3709311,38.04833796,N/A,926.6950557,639.2956061,68.98662103,24.27122998,2.619117242,30.0366855,3.241269641,0,0,31.32055598,3.37981257,41.74991682,4.505248686,42.27195901,4.561582449,0,0,0,0,0,0,117.7491022,12.70634838,N/A,N/A,N/A,N/A,"$5,480,045 ","$1,049 ","$40,223,837 ","$26,076,890 ",$0 ,"$5,914,693 ","$8,228,842 ","$3,412 ",$0 ,N/A,Cook,5197677,1933670,2.644964756,5194675,5376741,-182066,35.3,2277287,1245329,1267825,325562,81674,1369782,1206113,1067068,928952,441858,183904,456264,436472,339402,235745,253222,212565,54648,3456817,2906668,1184199,2178739,1140135,793535,245069,869539,118595,218404,252173,703831,444707,688082,700183,259049,86718,5.2,236730,487756,272528,143121,244900,167141,525630,800325,685643,1957,4112868,2742562,2424917,316141,1370306,2073558,-143400,-6.46832281,1.072343264,2278500,1485736,221832,420010,124078,26844,93836,14774,26.9,19.6,46.5,"$49,351,405,982 ","$9,522 ",20.6,4695,5114489
Rockdale,130,252,225,109,61,28,51898,1379,1112,115,1522,1101,963,135,421,872,659,39,94,22,52,4.9,194,211,11,0,152500,29,221,375,247,1953,71,420,306,33,42,931,781,66,42,40,2,10,416,389,67,1909,805,2.371428571,1205,650,25,0,29,458,408,510,323,134,76,37.7,1976,1888,88,861,Manufacturing,Health Care,Retail Trade,Accommodation and Food Service,Administration,109,96,92,64,63,1252,Manufacturing,Transportation,Wholesale Trade,Other Service,Construction,494,285,171,87,66,Joliet,Chicago,Rockdale,Naperville,Aurora,246,81,40,23,22,Joliet,Chicago,Rockdale,Shorewood,Channahon,290,48,40,32,30,"17,243",18.61730079,24.55577728,43.17307807,21.23064089,736.703587,196.2940104,26.64491037,0,0,7.03567982,0.955021795,0,0,3.23274203,0.438811767,349.0338428,47.37778517,33.71285935,4.576176897,0,0,3.19711014,0.433975102,5.52570009,0.750057443,138.6716423,18.82326145,N/A,N/A,N/A,N/A,"$65,819,319 ","$37,654 ","$49,491,429 ","$23,635,552 ",$0 ,"$17,669,667 ","$7,965,435 ","$220,775 ",$0 ,N/A,Will,677669,222092,3.018132125,677560,502266,175294,35.5,455445,105899,72989,30342,12994,213862,120015,162407,117612,47885,15888,28023,39699,41249,35206,46059,31856,76352,426692,385545,136987,237175,185671,36421,15083,176194,28351,5010,5083,18903,13530,47149,99347,65320,11829,6.5,34342,98497,41747,11085,228900,64130,110131,45258,17656,1990,505541,357260,324409,32636,148281,167339,47209,39.29826022,0.753467032,304861,261269,23699,13117,3221,3555,12842,24654,33,25.2,58.3,"$6,702,141,901 ","$9,941 ",105.3,1909,670303
Rolling Meadows,1478,2131,1714,1491,1266,920,60409,16270,14003,4999,18732,13115,12085,1030,5617,9566,4754,801,163,350,3498,5.3,1064,3291,1702,484,254500,400,4838,4234,94,1972,1156,3680,3015,1516,199,11452,9045,1544,456,342,65,367,6541,2459,566,23645,9000,2.592333333,14867,5954,673,1999,152,5987,5211,5021,4484,2108,834,36.6,24099,24604,-505,10606,Health Care,Retail Trade,Manufacturing,Professional,Education,1241,1090,1013,942,865,23440,Health Care,Manufacturing,Administration,Professional,Wholesale Trade,5692,3402,2717,1802,1775,Chicago,Arlington Heights,Rolling Meadows,Schaumburg,Palatine,1647,1039,721,677,539,Chicago,Palatine,Arlington Heights,Schaumburg,Rolling Meadows,3479,861,809,736,721,"17,944",27.90481432,22.81270144,50.71751576,15.07293391,3619.973146,1791.837399,49.49863789,224.0747413,6.1899559,176.4516278,4.874390518,497.6889564,13.7484157,181.8183726,5.022644236,203.5969911,5.624267997,315.1861615,8.70686463,0,0,164.5724771,4.54623475,13.15676022,0.363449111,51.58965874,1.425139267,"17,320","-6,301",-26.7,1.92,"$227,005,183 ","$9,705 ","$906,793,995 ","$478,777,836 ",$0 ,"$280,540,952 ","$147,475,207 ",$0 ,$0 ,50,Cook,5197677,1933670,2.644964756,5194675,5376741,-182066,35.3,2277287,1245329,1267825,325562,81674,1369782,1206113,1067068,928952,441858,183904,456264,436472,339402,235745,253222,212565,54648,3456817,2906668,1184199,2178739,1140135,793535,245069,869539,118595,218404,252173,703831,444707,688082,700183,259049,86718,5.2,236730,487756,272528,143121,244900,167141,525630,800325,685643,1957,4112868,2742562,2424917,316141,1370306,2073558,-143400,-6.46832281,1.072343264,2278500,1485736,221832,420010,124078,26844,93836,14774,26.9,19.6,46.5,"$49,351,405,982 ","$9,522 ",20.6,23331,5114489
Romeoville,1129,2429,3004,2002,2545,576,70541,23600,20248,5622,28845,20407,18314,1985,8438,12481,8749,2480,0,123,1082,6.1,2522,6893,655,15,187300,5220,4490,2730,41,1997,378,2580,6700,2430,393,17325,14795,1523,593,293,121,535,10085,1600,796,39175,11685,3.283269148,18505,12678,4056,2728,1208,13108,8612,9206,4936,2843,470,31.9,39680,21153,18527,15403,Retail Trade,Health Care,Manufacturing,Education,Wholesale Trade,1925,1684,1557,1324,1242,10115,Retail Trade,Wholesale Trade,Manufacturing,Transportation,Education,2243,1222,1202,905,839,Chicago,Bolingbrook,Naperville,Joliet,Romeoville,2327,1345,797,790,737,Chicago,Joliet,Romeoville,Bolingbrook,Naperville,958,861,737,576,383,"25,670",30.73701502,24.76929,55.50630501,28.81975365,11791.74423,2680.29515,22.73026871,94.87655163,0.804601505,205.8726682,1.745905136,390.3039792,3.309976636,427.9856232,3.62953618,1845.630101,15.65188376,702.2712675,5.955618215,1659.342794,14.07207247,731.7782945,6.20585284,445.2016184,3.775536592,2608.186186,22.11874795,"14,513","7,625",110.7,1.24,"$353,194,155 ","$9,165 ","$1,164,155,585 ","$593,012,119 ","$311,695 ","$114,159,834 ","$456,400,661 ","$271,276 ",$0 ,33,Will,677669,222092,3.018132125,677560,502266,175294,35.5,455445,105899,72989,30342,12994,213862,120015,162407,117612,47885,15888,28023,39699,41249,35206,46059,31856,76352,426692,385545,136987,237175,185671,36421,15083,176194,28351,5010,5083,18903,13530,47149,99347,65320,11829,6.5,34342,98497,41747,11085,228900,64130,110131,45258,17656,1990,505541,357260,324409,32636,148281,167339,47209,39.29826022,0.753467032,304861,261269,23699,13117,3221,3555,12842,24654,33,25.2,58.3,"$6,702,141,901 ","$9,941 ",105.3,38365,670303
Roselle,938,1381,1809,1310,1851,1239,76878,15206,14478,5925,17752,13436,12416,1020,4316,8989,4966,1779,34,751,1436,6.1,536,3645,1805,644,268500,509,6494,1807,179,1977,895,2180,3797,1791,326,11633,10032,696,697,179,29,419,6630,1898,461,22814,8528,2.666510319,17115,1950,1205,2092,452,6448,4377,4829,4862,1826,472,36.9,22763,23115,-352,12107,Manufacturing,Retail Trade,Health Care,Wholesale Trade,Professional,1437,1338,1226,1011,934,5877,Education,Manufacturing,Wholesale Trade,Construction,Administration,902,836,727,643,518,Chicago,Schaumburg,Elk Grove,Roselle,Bloomingdale,1717,880,636,554,342,Roselle,Chicago,Schaumburg,Hanover Park,Elgin,554,354,286,227,217,"20,934",32.61882339,23.88054602,56.4993694,25.21638647,3532.833614,2106.821685,59.63546306,81.95595932,2.319836377,189.372294,5.360351339,104.2091935,2.949733977,226.4383704,6.409539623,223.0091434,6.312472301,103.527001,2.930423912,73.70343343,2.086241286,229.5689848,6.498154451,33.97993994,0.961832445,160.2476098,4.535951231,"5,213",-147,-2.7,0.61,"$206,014,238 ","$9,054 ","$748,219,841 ","$609,737,080 ","$6,930 ","$65,858,935 ","$72,616,896 ",$0 ,$0 ,48,DuPage,918608,335532,2.699456386,916924,904161,12763,38.2,645537,122069,40620,93446,16936,250350,172360,200994,187283,76143,31478,40311,61409,58070,49716,63493,62533,78538,613687,564253,281959,356370,251585,83947,20838,212825,44266,2790,10850,85040,43263,88537,118119,87474,18977,6.1,25926,101004,85338,39317,298500,32096,205571,97861,20842,1977,720466,514749,471187,43180,205717,509888,147,0.028838175,1.519640452,439422,359991,35691,29668,10111,3961,21764,20534,32.5,23.7,56.2,"$14,729,493,925 ","$16,111 ",46.5,22740,905754
Rosemont,539,397,289,192,116,78,35461,2518,2187,375,2917,1818,1647,171,1099,1774,382,0,58,95,1239,4,35,184,193,55,311500,8,442,1315,9,1964,667,752,321,26,8,1577,1212,124,60,142,39,44,467,1144,163,3499,1611,2.171942893,2511,652,129,202,5,717,720,791,632,501,138,41.1,4202,4224,-22,1777,Public Administration,Health Care,Accommodation and Food Service,Retail Trade,Manufacturing,238,186,184,158,155,17048,Accommodation and Food Service,Professional,Health Care,Finance,Wholesale Trade,3837,1670,1658,1592,1546,Chicago,Rosemont,Des Plaines,Elk Grove,Schaumburg,388,370,104,53,47,Chicago,Des Plaines,Rosemont,Arlington Heights,Park Ridge,5173,450,370,300,274,"15,590",15.09661611,21.04554347,36.14215957,17.12560732,1158.321747,95.5505681,8.249052419,49.5457592,4.277374514,45.52877754,3.930581262,299.4701139,25.85379361,11.32815893,0.977980337,59.03315201,5.096438201,391.6941544,33.81566092,0,0,59.35914453,5.124581722,4.74893299,0.409983927,142.0629856,12.26455309,"16,293","-1,847",-10.2,10.11,"$295,216,015 ","$81,148 ","$278,443,485 ","$63,534,233 ",$0 ,"$177,314,251 ","$37,198,250 ","$396,751 ",$0 ,N/A,Cook,5197677,1933670,2.644964756,5194675,5376741,-182066,35.3,2277287,1245329,1267825,325562,81674,1369782,1206113,1067068,928952,441858,183904,456264,436472,339402,235745,253222,212565,54648,3456817,2906668,1184199,2178739,1140135,793535,245069,869539,118595,218404,252173,703831,444707,688082,700183,259049,86718,5.2,236730,487756,272528,143121,244900,167141,525630,800325,685643,1957,4112868,2742562,2424917,316141,1370306,2073558,-143400,-6.46832281,1.072343264,2278500,1485736,221832,420010,124078,26844,93836,14774,26.9,19.6,46.5,"$49,351,405,982 ","$9,522 ",20.6,3499,5114489
Round Lake,601,1041,986,904,1388,803,80954,10841,9305,4149,12393,9573,8795,690,2820,6109,3618,1452,68,77,570,6.3,1189,2797,577,32,203100,3932,1542,403,232,2002,497,1725,1908,1607,372,8364,7202,668,284,90,120,298,4595,1128,386,17773,5723,3.104141185,9897,4224,1246,1850,556,6166,3799,4229,2665,769,145,31.7,18289,5842,12447,8050,Manufacturing,Retail Trade,Health Care,Education,Wholesale Trade,1162,959,850,718,669,4905,Manufacturing,Retail Trade,Education,Administration,Accommodation and Food Service,2560,759,418,195,172,Chicago,Libertyville,Vernon Hills,Waukegan,Mundelein,1053,381,283,277,256,Round Lake Beach,Round Lake,Chicago,Grayslake,Waukegan,271,233,217,161,145,"25,276",26.32200134,25.25391126,51.5759126,27.13979431,3629.901818,1402.672645,38.64216488,19.51327968,0.537570454,73.38601251,2.021707919,8.98754025,0.247597337,102.9308443,2.835637147,51.04483378,1.406231803,24.94486396,0.687204922,172.9200734,4.763767232,454.3237642,12.51614471,131.050272,3.61029798,1188.127689,32.73167562,N/A,N/A,N/A,N/A,"$31,477,846 ","$1,846 ","$321,967,538 ","$291,356,337 ","$407,265 ","$24,165,618 ","$6,038,318 ",$0 ,$0 ,26,Lake,701282,240744,2.836531752,703462,644356,59106,36.7,457261,139349,45982,43561,15129,212510,122333,157503,135182,53650,20104,32485,42733,39601,32569,43445,49911,79085,446837,396196,186863,260020,184999,55745,19276,175104,30151,6591,7314,36113,23023,61273,89381,69365,16978,6.3,32915,71348,43510,37226,267700,39542,131250,65031,24197,1980,533705,379124,334641,33545,154581,272836,1803,0.665232647,1.133303426,317717,258487,30813,14235,10566,3616,21552,21984,36.6,24.7,61.3,"$9,247,597,406 ","$13,203 ",82,17765,682878
